date,ZEE,SAP
2010-06-02,1.326771938,1.3075
2010-06-03,1.303467102,1.2677
2010-06-04,1.286850038,1.3545
2010-06-07,1.35263587,1.3626
2010-06-08,1.382833205,1.4426
2010-06-09,1.501541146,1.4769
2010-06-10,1.500039809,1.4281
2010-06-11,1.476803216,1.403
2010-06-14,1.452474742,1.4464
2010-06-15,1.470149566,1.4952
2010-06-16,1.597524313,1.5056
2010-06-17,1.566883401,1.6137
2010-06-18,1.614141377,1.5651
2010-06-21,1.616905201,1.5018
2010-06-22,1.579405912,1.4487
2010-06-23,1.522559856,1.5159
2010-06-24,1.517066329,1.4514
2010-06-25,1.500790478,1.4085
2010-06-28,1.434629311,1.4148
2010-06-29,1.435072888,1.4926
2010-06-30,1.539756982,1.3992
2010-07-01,1.532182057,1.552
2010-07-02,1.581043733,1.5597
2010-07-05,1.606122876,1.6432
2010-07-06,1.66798476,1.6649
2010-07-07,1.740901941,1.7212
2010-07-08,1.69749967,1.7128
2010-07-09,1.736432053,1.7271
2010-07-12,1.755539971,1.7572
2010-07-13,1.770314486,1.7207
2010-07-14,1.760965254,1.6458
2010-07-15,1.70469926,1.6516
2010-07-16,1.665869241,1.6172
2010-07-19,1.672386406,1.547
2010-07-20,1.602335413,1.4218
2010-07-21,1.594214548,1.4495
2010-07-22,1.442272478,1.4878
2010-07-23,1.465679678,1.4496
2010-07-26,1.52081967,1.4786
2010-07-27,1.478168067,1.4601
2010-07-28,1.410778535,1.4574
2010-07-29,1.433571552,1.4611
2010-07-30,1.47264042,1.4813
2010-08-02,1.48144371,1.4888
2010-08-03,1.484344019,1.4844
2010-08-04,1.499186777,1.4999
2010-08-05,1.51495081,1.5394
2010-08-06,1.521775066,1.5151
2010-08-09,1.471719145,1.5411
2010-08-10,1.514029535,1.4681
2010-08-11,1.493283795,1.4892
2010-08-12,1.48144371,1.4675
2010-08-13,1.469842475,1.4804
2010-08-16,1.481750802,1.351
2010-08-17,1.440873506,1.3547
